address,name,symbol,network,pair_address,dex_id,url,price_usd,price_native,liquidity_usd,volume_24h,volume_6h,volume_1h,price_change_24h,price_change_6h,price_change_1h,buys_24h,sells_24h,fdv,market_cap,age_hours,risk_score,risk_level,risk_factors,info,security_score,security_issues,contract_verified,ownership_renounced,liquidity_locked,honeypot_probability
EQAQfNrwhA5sEywrLTtsxpyQFeKRfEpLdZREZILP9z9iUjAH,BRINGOLD,BRIN,ton,EQDDupxFqo5J8PdYBNpG7q38jAZ5hBDwxJSrflhU5WpSitrp,stonfi,https://dexscreener.com/ton/eqddupxfqo5j8pdybnpg7q38jaz5hbdwxjsrflhu5wpsitrp,0.0001811,7.985e-05,22419.77,4256.89,1823.64,287.56,40.66,7.18,3.16,49,10,165170.0,165170.0,457.7921692302789,60,Скам,"['🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Недостаточная ликвидность для среднего риска (<$50K)', 'Критически низкая ликвидность (<$25K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/ton/eqaqfnrwha5seywrlttsxpyqfekrfepldzrezilp9z9iujah.png?key=db6243', 'header': 'https://dd.dexscreener.com/ds-data/tokens/ton/eqaqfnrwha5seywrlttsxpyqfekrfepldzrezilp9z9iujah/header.png?key=db6243', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/ton/eqaqfnrwha5seywrlttsxpyqfekrfepldzrezilp9z9iujah?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'http://bringold.io/'}, {'label': 'Docs', 'url': 'https://dapp.bringold.io/files/wp-bringold-en.pdf'}, {'label': 'Inst', 'url': 'https://www.instagram.com/bringold_dao/'}], 'socials': [{'type': 'twitter', 'url': 'https://twitter.com/Bringold_io'}, {'type': 'telegram', 'url': 'https://t.me/Bringold_io'}, {'type': 'discord', 'url': 'https://discord.gg/Dy3PHadp'}]}",0.48300000000000004,[],False,True,False,0.3
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn.finance,YFI,pulsechain,0xb11C910451BE27FBeDD28eA0ECF723a3263cCD48,pulsex,https://dexscreener.com/pulsechain/0xb11c910451be27fbedd28ea0ecf723a3263ccd48,15.52,495345.8287,15764.6,1037.94,116.37,16.18,31.85,4.06,-0.18,19,62,569093.0,569093.0,21392.75161367581,80,Скам,"['Неверифицированный контракт', 'Нет информации о сайте и социальных сетях', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Критически низкая ликвидность (<$25K)']",{},0.48300000000000004,[],False,True,False,0.0
Gtas1jTXjD4EpYqDFKk7cEaArFSdaUXKu6bGhbSvpump,mascot of the trenches,rug,solana,Cj9TKYjHhXH3Dsuyn5r1dQnbzxydDBUZvhiTwc4dgTXk,pumpswap,https://dexscreener.com/solana/cj9tkyjhhxh3dsuyn5r1dqnbzxyddbuzvhitwc4dgtxk,0.0002129,1.111e-06,59438.9,36948.14,24388.17,4574.36,30.78,27.19,-21.37,162,108,212749.0,212749.0,595.0196692322455,60,Средний,['🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!'],"{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/Gtas1jTXjD4EpYqDFKk7cEaArFSdaUXKu6bGhbSvpump.png?key=15f00f', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/Gtas1jTXjD4EpYqDFKk7cEaArFSdaUXKu6bGhbSvpump/header.png?key=15f00f', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/Gtas1jTXjD4EpYqDFKk7cEaArFSdaUXKu6bGhbSvpump?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://rugrugrug.me/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/i/communities/1972734913892725237'}]}",0.48300000000000004,[],False,True,False,0.3
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,Maker,MKR,pulsechain,0xA0894C16AF959D6E2689468241eA95f93cd54636,pulsex,https://dexscreener.com/pulsechain/0xa0894c16af959d6e2689468241ea95f93cd54636,4.38,0.008588,1430.33,236.94,32.91,4.14,30.65,1.88,0.44,22,33,0.0,3718525.0,14739.251613677776,15,Умеренный,"['Неверифицированный контракт', 'Низкая ликвидность: $1430.33', 'Недостаточная ликвидность для низкого риска (<$100K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2.png?key=0f1dc7', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2/header.png?key=0f1dc7', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://pulsemaker.win/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/PulseMakerWin'}, {'type': 'telegram', 'url': 'https://t.me/PulseChainMKR'}]}",0.403,[],False,True,True,0.0
BMz2jygRVYz22MdkJBCGHz6HRg32HZjacTzEMYoApump,here comes bitcoin cat,btc,solana,3rjhDM9gYmDmCNqvzC2bph9NZPQoUvmSvwxE8SbR3kqF,pumpswap,https://dexscreener.com/solana/3rjhdm9gymdmcnqvzc2bph9nzpqouvmsvwxe8sbr3kqf,0.0001012,5.282e-07,40179.88,2191178.0,96642.65,12571.34,30.24,-5.17,15.56,14662,12287,101061.0,101061.0,14.94244701280382,160,Скам,"['🚨 КРИТИЧНО: Новый токен (<24ч): 14.94 часов', 'Подозрительное соотношение объема к ликвидности: 54.53', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Подозрительно высокое соотношение объем/ликвидность - возможна манипуляция']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/BMz2jygRVYz22MdkJBCGHz6HRg32HZjacTzEMYoApump.png?key=09f7de', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/BMz2jygRVYz22MdkJBCGHz6HRg32HZjacTzEMYoApump/header.png?key=09f7de', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/BMz2jygRVYz22MdkJBCGHz6HRg32HZjacTzEMYoApump?timestamp=1760957700000', 'websites': [{'label': 'Website', 'url': 'https://bitcoin.org/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/i/communities/1980009512917487771'}]}",0.443,[],False,True,False,0.3
0xDDe9164E7E0DA7ae48b58F36B42c1c9f80e7245F,DOGE,DOGE,pulsechain,0xD9e7aFb35aD1040c470cC0d495e4b8D61cf52C9B,uniswap,https://dexscreener.com/pulsechain/0xd9e7afb35ad1040c470cc0d495e4b8d61cf52c9b,0.0002999,3.4938,15850.02,608.14,20.78,0.0,28.2,0.21,0.0,23,13,299644.0,299644.0,348.83216923583984,60,Скам,"['Неверифицированный контракт', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Недостаточная ликвидность для среднего риска (<$50K)', 'Критически низкая ликвидность (<$25K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xdde9164e7e0da7ae48b58f36b42c1c9f80e7245f.png?key=e3a34e', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xdde9164e7e0da7ae48b58f36b42c1c9f80e7245f/header.png?key=e3a34e', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0xdde9164e7e0da7ae48b58f36b42c1c9f80e7245f?timestamp=1760958000000', 'websites': [], 'socials': [{'type': 'twitter', 'url': 'https://x.com/dogeonpls?t=l-jy3JT-f143Od0KPQyiBw&s=09'}, {'type': 'telegram', 'url': 'https://t.me/dogeonpls'}]}",0.48300000000000004,[],False,True,False,0.3
0x25d53961a27791B9D8b2d74FB3e937c8EAEadc38,⑦,First Pulse Mutual Bond,pulsechain,0x1cE3dcEA486C0eAC91623c51Ac7110Bbb56eD00d,pulsex,https://dexscreener.com/pulsechain/0x1ce3dcea486c0eac91623c51ac7110bbb56ed00d,192.22,23197419306.7347,5559.16,196.67,12.47,0.0,28.07,4.86,0.0,12,12,55552.0,55552.0,17393.807169237196,35,Умеренный,"['Неверифицированный контракт', 'Низкая ликвидность: $5559.16', 'Нет информации о сайте и социальных сетях']",{},0.363,[],False,True,True,0.3
0x44F161aE29361E332dEA039DFA2F404E0bC5B5Cc,Humanity,H,bsc,0xef7D88D12b6393fE06f5F07d48d7B76511909e6b,pancakeswap,https://dexscreener.com/bsc/0xef7d88d12b6393fe06f5f07d48d7b76511909e6b,0.1453,0.1453,565309.06,9071044.91,1086673.0,162624.2,27.16,1.1,0.57,26987,28133,14266870.0,265300250.0,2881.8874470161268,30,Умеренный,"['Proxy контракт', 'Нет информации о сайте и социальных сетях', 'Высокое соотношение объем/ликвидность - повышенная волатильность']",{},0.5830000000000001,[],False,False,True,0.0
4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx,YABAI,YABAI,solana,3bhyjsPcD8qgerMp6ZQrgkMHZRNDvnYkjgj2RwQvAbPe,meteora,https://dexscreener.com/solana/3bhyjspcd8qgermp6zqrgkmhzrndvnykjgj2rwqvabpe,0.0005491,2.864e-06,87711.96,8488.35,32.32,22.77,26.77,-1.0,-0.6,11,3,549191.0,549191.0,1479.8313359061008,60,Средний,['🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!'],"{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx.png?key=c0c5dc', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx/header.png?key=c0c5dc', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://jup.ag/tokens/4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/yabaixcore'}, {'type': 'telegram', 'url': 'https://t.me/yabaixportal'}]}",0.48300000000000004,[],False,True,False,0.3
0xBFcfA52225Baa5feec5fbb54E6458957D53ddD94,ETH,ETH,pulsechain,0x77E4e36E9aB013E6d48B34836b61441C328B1738,pulsex,https://dexscreener.com/pulsechain/0x77e4e36e9ab013e6d48b34836b61441c328b1738,0.0001944,6.173,35422.22,1493.4,8.63,0.0,23.59,1.04,0.0,23,77,194498.0,194498.0,6243.529391462809,60,Высокий,"['Неверифицированный контракт', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Недостаточная ликвидность для среднего риска (<$50K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xbfcfa52225baa5feec5fbb54e6458957d53ddd94.png?key=bedfbb', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xbfcfa52225baa5feec5fbb54e6458957d53ddd94/header.png?key=bedfbb', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0xbfcfa52225baa5feec5fbb54e6458957d53ddd94?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'http://rheth.info'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/RichardHeartWin'}, {'type': 'telegram', 'url': 'https://t.me/rhcoins'}]}",0.48300000000000004,[],False,True,False,0.3
0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,CRO,CRO,pulsechain,0xb3ED95B7c4Bb0F532745873FE4A8fDaf4a4b7dAe,pulsex,https://dexscreener.com/pulsechain/0xb3ed95b7c4bb0f532745873fe4a8fdaf4a4b7dae,0.004723,150.5417,4118.19,665.51,406.79,47.21,23.15,8.93,0.86,94,118,79959956.0,460021652.0,21392.318280352512,75,Скам,"['Неверифицированный контракт', 'Низкая ликвидность: $4118.19', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Недостаточная ликвидность для среднего риска (<$50K)', 'Критически низкая ликвидность (<$25K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b.png?key=580632', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b/header.png?key=580632', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b?timestamp=1760958000000', 'websites': [{'label': 'Website', 'url': 'https://cronos-pos.org/'}], 'socials': [{'type': 'twitter', 'url': 'https://twitter.com/cronos_chain'}, {'type': 'telegram', 'url': 'https://telegram.me/Cronos_POS_Announcements'}, {'type': 'discord', 'url': 'https://discord.gg/cronos'}]}",0.663,[],False,False,False,0.0
0xFCa95aeb5bF44aE355806A5ad14659c940dC6BF7,SHIBA INU,SHIB,base,0x4fbB43E487f128D3c94dC668ab5b60e0Ae9Ca001,uniswap,https://dexscreener.com/base/0x4fbb43e487f128d3c94dc668ab5b60e0ae9ca001,4.277e-09,4.277e-09,4246.41,4611.83,1046.25,30.07,21.97,10.43,0.5,93,87,2882707.0,2882707.0,3375.6438359091526,75,Скам,"['Низкая ликвидность: $4246.41', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Недостаточная ликвидность для среднего риска (<$50K)', 'Критически низкая ликвидность (<$25K)']","{'imageUrl': 'https://cdn.dexscreener.com/cms/images/9db0d992a85773364aeb6212840e5316f20f888e5b2271c6424090c9474d8dc8?width=64&height=64&quality=90', 'header': 'https://cdn.dexscreener.com/cms/images/b0a9240c75d5163ac44264f6bc56310ad03e33f8c802722d3f13bd61816e8e18?width=128&height=128&quality=90', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/base/0xfca95aeb5bf44ae355806a5ad14659c940dc6bf7?timestamp=1760958000000', 'websites': [{'url': 'https://schismaticshiba.com/', 'label': 'Website'}], 'socials': [{'url': 'https://x.com/schismaticshiba', 'type': 'twitter'}, {'url': 'https://t.me/shiba_base', 'type': 'telegram'}]}",0.48300000000000004,[],False,True,False,0.0
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave Token,AAVE,pulsechain,0x577F874128aE00319a1B60AA02f3702faEE512e0,pulsex,https://dexscreener.com/pulsechain/0x577f874128ae00319a1b60aa02f3702faee512e0,0.1793,5715.9157,6029.36,1063.26,234.2,82.79,21.81,4.84,1.05,51,69,2869267.0,2869267.0,20747.99328035448,15,Умеренный,"['Неверифицированный контракт', 'Низкая ликвидность: $6029.36', 'Недостаточная ликвидность для низкого риска (<$100K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.png?key=0a7252', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9/header.png?key=0a7252', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9?timestamp=1760958000000', 'websites': [{'label': 'Website', 'url': 'https://aave.com/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/pulseaave?s=21&t=8vmArXsynLkocc_LD_X72w'}, {'type': 'telegram', 'url': 'https://t.me/PulseChainAAVE'}]}",0.403,[],False,True,True,0.0
52KWGFoax5Ed1YbFctptXjSShv1P6R3SqUuo6Hk3pump,PolyX,PLX,solana,Dra8UacYMW7RmcTUMAbjHUKsRRU8xTWoatUT9VXZDcMy,pumpswap,https://dexscreener.com/solana/dra8uacymw7rmctumabjhuksrru8xtwoatut9vxzdcmy,0.0002539,1.324e-06,59717.33,119457.03,20010.73,551.09,21.51,2.17,-2.34,269,234,253329.0,253329.0,188.09800257948135,60,Средний,['🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!'],"{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/52KWGFoax5Ed1YbFctptXjSShv1P6R3SqUuo6Hk3pump.png?key=f0f006', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/52KWGFoax5Ed1YbFctptXjSShv1P6R3SqUuo6Hk3pump/header.png?key=f0f006', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/52KWGFoax5Ed1YbFctptXjSShv1P6R3SqUuo6Hk3pump?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://www.polyxbot.org/'}, {'label': 'Docs', 'url': 'https://docs.polyxbot.org/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/PolyxBot'}, {'type': 'telegram', 'url': 'https://t.me/Polyx_gold_bot'}]}",0.463,[],False,True,False,0.3
